2   0.81459108  0.94888476  0.84665428
4   0.80901487  0.91101301 0.85385688
6   0.80669145  0.85052664 0.85145601
8   0.80378717  0.80703996 0.84862918
10  0.79869888  0.75046468 0.84814126
12  0.80429058  0.69865242 0.84502788
14  0.79381306  0.64644185 0.84180828
16  0.79298327  0.61071097 0.83538569
